Rank,Name,Net Worth,Age,Source,Country of Citizenship
965,Du Jiangtao,2.5 ,48,chemicals,China
965,Aloysio de Andrade Faria,2.5 ,97,banking,Brazil
965,Kenneth Feld,2.5 ,69,"circus, live entertainment",United States
965,Luca Garavoglia,2.5 ,49,spirits,Italy
965,Noam Gottesman,2.5 ,57,hedge funds,United States
965,Jonathan Gray,2.5 ,48,investments,United States
965,Stein Erik Hagen,2.5 ,61,consumer goods,Norway
965,Chang-Woo Han,2.5 ,87,pachinko parlors,Japan
965,John Henry,2.5 ,68,sports,United States
965,Lawrence Ho,2.5 ,41,casinos,Hong Kong
965,Hui Lin Chit,2.5 ,65,hygiene products,China
965,Mustafa Rahmi Koc,2.5 ,87,diversified,Turkey
965,Kuan Kam Hon,2.5 ,70,synthetic gloves,Malaysia
965,Jane Lauder,2.5 ,45,cosmetics,United States
965,Aerin Lauder Zinterhofer,2.5 ,48,cosmetics,United States
965,Maritsa Lazari,2.5 ,73,real estate,United Kingdom
965,Bernard Lewis,2.5 ,92,fashion retailer,United Kingdom
965,Vincent Lo,2.5 ,69,real estate,Hong Kong
965,Jeffrey Lorberbaum,2.5 ,63,flooring,United States
965,Joe Mansueto,2.5 ,61,investment research,United States
965,Jose Roberto Marinho,2.5 ,62,media,Brazil
965,Roberto Irineu Marinho,2.5 ,70,media,Brazil
965,C. Dean Metropoulos,2.5 ,72,investments,United States
965,Aristotelis Mistakidis,2.5 ,56,"mining, commodities",Greece
965,Arturo Moreno,2.5 ,71,"billboards, Anaheim Angels",United States
965,Yoshiko Mori,2.5 ,77,real estate,Japan
965,Adam Neumann,2.5 ,39,WeWork,Israel
965,Or Wai Sheun,2.5 ,67,real estate,Hong Kong
965,Richard Peery,2.5 ,79,real estate,United States
965,Horst Julius Pudwill,2.5 ,73,manufacturing,Germany
965,P.V. Ramprasad Reddy,2.5 ,60,pharmaceuticals,India
965,Larry Robbins,2.5 ,48,hedge funds,United States
965,Carlos Sanchez,2.5 ,56,generic drugs,Brazil
965,Stephan Schmidheiny,2.5 ,70,investments,Switzerland
965,Klaus-Peter Schulenberg,2.5 ,-,ticketing service,Germany
965,Charles Simonyi,2.5 ,69,Microsoft,United States
965,Mark Stevens,2.5 ,58,venture capital,United States
965,Sze Man Bok,2.5 ,68,hygiene products,China
965,Sarik Tara,2.5 ,88,construction,Turkey
965,Lottie Tham,2.5 ,69,H&M,Sweden
965,Peter Thiel,2.5 ,50,"Facebook, Palantir",United States
965,Elaine Wynn,2.5 ,76,"casinos, hotels",United States
965,Denise York,2.5 ,67,San Francisco 49ers,United States
965,David Zalik,2.5 ,44,technology,United States
965,Zhao Tao,2.5 ,52,pharmaceuticals,Singapore
1020,George Argyros,2.4 ,81,"real estate, investments",United States
1020,John Arrillaga,2.4 ,81,real estate,United States
1020,Charles Bronfman,2.4 ,86,liquor,Canada
1020,Peter Buck,2.4 ,87,Subway sandwich shops,United States
1020,Chen Jinxia,2.4 ,50,investments,China
1020,Vivien Chen,2.4 ,59,real estate,Hong Kong
1020,Chu Lam Yiu,2.4 ,48,flavorings,Hong Kong
1020,Jean Coutu,2.4 ,91,drugstores,Canada
1020,Jose Luis Cutrale,2.4 ,71,orange juice,Brazil
1020,Jai Hari & Yadu Hari Dalmia,2.4 ,-,cement,India
1020,Bergit Douglas,2.4 ,71,consumer goods,Germany
1020,Alfredo Egydio Arruda Villela Filho,2.4 ,48,banking,Brazil
1020,Marcel Erni,2.4 ,53,private equity,Switzerland
1020,Andre Esteves,2.4 ,49,banking,Brazil
1020,Carlo Fidani,2.4 ,63,real estate,Canada
1020,Abhay Firodia,2.4 ,73,automobiles,India
1020,Alfred Gantner,2.4 ,50,private equity,Switzerland
1020,Geng Jianming,2.4 ,55,real estate,China
1020,Mitchell Goldhar,2.4 ,56,real estate,Canada
1020,Hortensia Herrero,2.4 ,68,supermarkets,Spain
1020,Michael Hintze,2.4 ,64,investment,Australia
1020,Igor Kesaev,2.4 ,51,"tobacco distribution, retail",Russia
1020,Koon Poh Keong,2.4 ,57,aluminum,Malaysia
1020,Hermann Langness,2.4 ,65,retail,Germany
1020,Li Zhongchu,2.4 ,54,software,China
1020,Alexander Mamut,2.4 ,58,investments,Russia
1020,Joao Roberto Marinho,2.4 ,64,media,Brazil
1020,"Drayton McLane, Jr.",2.4 ,81,"Wal-Mart, logistics",United States
1020,Patrice Motsepe,2.4 ,56,mining,South Africa
1020,Alfred Oetker,2.4 ,51,consumer goods,Germany
1020,August Oetker,2.4 ,74,consumer goods,Germany
1020,Carl Ferdinand Oetker,2.4 ,45,consumer goods,Germany
1020,Christian Oetker,2.4 ,70,consumer goods,Germany
1020,Julia Oetker,2.4 ,39,consumer goods,Germany
1020,Richard Oetker,2.4 ,67,consumer goods,Germany
1020,Daniel Pritzker,2.4 ,58,"hotels, investments",United States
1020,John Pritzker,2.4 ,65,"hotels, investments",United States
1020,Nevaldo Rocha,2.4 ,88,retail,Brazil
1020,Luigi Rovati,2.4 ,89,pharmaceuticals,Italy
1020,Ferit Faik Sahenk,2.4 ,54,diversified,Turkey
1020,Rosely Schweizer,2.4 ,77,consumer goods,Germany
1020,Eric Smidt,2.4 ,58,hardware stores,United States
1020,Alexander Spanos,2.4 ,94,"real estate, Los Angeles Chargers",United States
1020,Leena Tewari,2.4 ,60,pharmaceuticals,India
1020,Tong Jinquan,2.4 ,63,real estate,China
1020,Peter Unger,2.4 ,73,auto repair,Germany
1020,Sunny Varkey,2.4 ,61,education,India
1020,Urs Wietlisbach,2.4 ,56,private equity,Switzerland
1020,Michael Ying,2.4 ,68,retail,Hong Kong
1020,Yu Minhong,2.4 ,56,education,China
1070,Eva Maria Bucher-Haefner,2.3 ,61,Computer Associates,Switzerland
1070,Chen Hua,2.3 ,52,real estate,China
1070,Gustavo Denegri,2.3 ,82,biotech,Italy
1070,Dermot Desmond,2.3 ,67,finance,Ireland
1070,Murali Divi,2.3 ,67,pharmaceuticals,India
1070,Thomas Flohr,2.3 ,48,VistaJet,Switzerland
1070,Bernard Fraisse,2.3 ,61,pharmaceuticals,France
1070,Harsh Goenka,2.3 ,60,diversified,India
1070,David Gottesman,2.3 ,92,investments,United States
1070,Murli Dhar & Bimal Kumar Gyanchandani,2.3 ,-,Detergents,India
1070,Bill Haslam,2.3 ,59,truck stops,United States
1070,Hu Baifan,2.3 ,55,pharmaceuticals,China
1070,W. Herbert Hunt,2.3 ,89,oil,United States
1070,Alijan Ibragimov,2.3 ,64,"mining, metals",Kazakhstan
1070,Bradley Jacobs,2.3 ,61,logistics,United States
1070,Brad Kelley,2.3 ,61,tobacco,United States
1070,Vinod Khosla,2.3 ,63,venture capital,United States
1070,Stephen Lansdown,2.3 ,65,financial services,Guernsey
1070,Martin Lau,2.3 ,45,e-commerce,Hong Kong
1070,Lee Joong-Keun,2.3 ,77,"construction, real estate",South Korea
1070,Lin Li,2.3 ,55,investments,China
1070,Kenneth Lo,2.3 ,79,textiles,United Kingdom
1070,Alexander Machkevich,2.3 ,64,"mining, metals",Israel
1070,Clayton Mathile,2.3 ,77,pet food,United States
1070,Stanley Perron,2.3 ,95,"real estate, retail",Australia
1070,J. Joe Ricketts,2.3 ,76,TD Ameritrade,United States
1070,Dirk Rossmann,2.3 ,71,drugstores,Germany
1070,Filiz Sahenk,2.3 ,51,diversified,Turkey
1070,Dan Snyder,2.3 ,53,Washington Redskins,United States
1070,Peter Spuhler,2.3 ,58,train cars,Switzerland
1070,Tang Yiu,2.3 ,84,fashion retail,Hong Kong
1070,John Tyson,2.3 ,64,food processing,United States
1070,Wong Man Li,2.3 ,53,furniture,Hong Kong
1103,Lia Maria Aguiar,2.2 ,80,banking,Brazil
1103,Aziz Akhannouch,2.2 ,57,"petroleum, diversified",Morocco
1103,Ron Baron,2.2 ,75,money management,United States
1103,Shyam & Hari Bhartia,2.2 ,65,Diversified,India
1103,Timothy Boyle,2.2 ,68,Columbia Sportswear,United States
1103,Tatiana Casiraghi,2.2 ,34,beer,Monaco
1103,Chan Tan Ching-fen,2.2 ,-,real estate,Hong Kong
1103,"Chase Coleman, III.",2.2 ,42,hedge fund,United States
1103,Mark Coombs,2.2 ,57,finance,United Kingdom
1103,James Coulter,2.2 ,58,private equity,United States
1103,Dulce Pugliese de Godoy Bueno,2.2 ,70,"hospitals, health care",Brazil
1103,Ana Lucia de Mattos Barretto Villela,2.2 ,44,banking,Brazil
1103,"Frank Fertitta, III.",2.2 ,56,"casinos, mixed martial arts",United States
1103,Lorenzo Fertitta,2.2 ,49,"casinos, mixed martial arts",United States
1103,Maria Franca Fissolo,2.2 ,83,"Nutella, chocolates",Italy
1103,Alexander Frolov,2.2 ,54,"mining, steel",Russia
1103,"Ernest Garcia, II.",2.2 ,61,used cars,United States
1103,Alexandre Grendene Bartelle,2.2 ,68,shoes,Brazil
1103,Vinod & Anil Rai Gupta,2.2 ,72,electrical equipment,India
1103,Torstein Hagen,2.2 ,75,cruises,Norway
1103,He Qiaonv,2.2 ,52,landscape architecture,China
1103,Hans-Werner Hector,2.2 ,78,SAP,Germany
1103,Stanley Hubbard,2.2 ,85,DirecTV,United States
1103,Ke Xiping,2.2 ,58,investments,China
1103,Suna Kirac,2.2 ,77,diversified,Turkey
1103,Kong Jian Min,2.2 ,50,real estate,China
1103,Koo Bon-Moo,2.2 ,73,Diversified,South Korea
1103,Heikki Kyostila,2.2 ,72,dental products,Finland
1103,Thomas Lee,2.2 ,74,private equity,United States
1103,Eric Lefkofsky,2.2 ,48,Groupon,United States
1103,Peter Lim,2.2 ,65,investments,Singapore
1103,Scott Lin,2.2 ,-,optical components,Taiwan
1103,Tomas Olivo Lopez,2.2 ,44,shopping centers,Spain
1103,Phillip T. (Terry) Ragon,2.2 ,69,health IT,United States
1103,Stewart Rahr,2.2 ,72,drug distribution,United States
1103,T. Denny Sanford,2.2 ,82,"banking, credit cards",United States
1103,"Julio Mario Santo Domingo, III.",2.2 ,33,beer,United States
1103,"Karl Scheufele, III.",2.2 ,79,jewelry,Switzerland
1103,Shen Guojun,2.2 ,55,retail,China
1103,Alain Taravella,2.2 ,70,real estate,France
1103,Oleg Tinkov,2.2 ,50,banking,Russia
1103,T.Y. Tsai,2.2 ,-,finance,Taiwan
1103,Tung Chee Hwa,2.2 ,81,shipping,Hong Kong
1103,Ted Turner,2.2 ,79,cable television,United States
1103,Sunil Vaswani,2.2 ,54,diversified,United Kingdom
1103,Jitendra Virwani,2.2 ,52,real estate,India
1103,Lang Walker,2.2 ,72,real estate,Australia
1103,Wu Zhigang,2.2 ,83,bakery chain,China
1103,Xiao Wenge,2.2 ,51,entertainment,China
1103,Xiong Xuqiang,2.2 ,61,real estate,Hong Kong
1103,Takao Yasuda,2.2 ,69,retail,Japan
1103,William Young,2.2 ,77,plastics,United States
1103,Eddie & Sol Zakay,2.2 ,-,Real Estate,United Kingdom
1103,Zhang Xiugen,2.2 ,57,automobiles,China
1157,Leslie Alexander,2.1 ,74,sports team,United States
1157,Patricia Angelini Rossi,2.1 ,64,"forestry, mining",Chile
1157,Josef Boquoi,2.1 ,84,frozen foods,Germany
1157,Nikolai Buinov,2.1 ,50,"oil, gas",Russia
1157,Richard Chandler,2.1 ,59,investments,New Zealand
1157,Cheng Xue,2.1 ,48,soy sauce,China
1157,Patokh Chodiev,2.1 ,65,"mining, metals",Belgium
1157,Choo Chong Ngen,2.1 ,65,hotels,Singapore
1157,Todd Christopher,2.1 ,55,hair care products,United States
1157,John de Mol,2.1 ,63,television,Netherlands
1157,Bob Gaglardi,2.1 ,77,hotels,Canada
1157,Gordon Getty,2.1 ,84,Getty Oil,United States
1157,Philippe Ginestet,2.1 ,64,retail stores,France
1157,Sanjiv Goenka,2.1 ,57,diversified,India
1157,Alec Gores,2.1 ,65,private equity,United States
1157,David Hains,2.1 ,87,Investment,Australia
1157,Bahaa Hariri,2.1 ,52,"real estate, investments, logistics",Lebanon
1157,William Heinecke,2.1 ,69,hotels,Thailand
1157,Huang Hongyun,2.1 ,51,real estate,China
1157,Huang Zhenda,2.1 ,70,construction,China
1157,Ravi Jaipuria,2.1 ,63,soft drinks,India
1157,Jiang Yehua,2.1 ,55,real estate,China
1157,Manuel Jove,2.1 ,76,real estate,Spain
1157,Willibert Krueger,2.1 ,77,food processing,Germany
1157,Kuok Khoon Hong,2.1 ,68,palm oil,Singapore
1157,Christian Latouche,2.1 ,77,accounting services,France
1157,Guenther Lehmann,2.1 ,-,drugstores,Germany
1157,Li Hongxin,2.1 ,65,paper & related products,China
1157,Li Xiting,2.1 ,67,medical devices,China
1157,Liang Yunchao,2.1 ,49,nutrition supplements,China
1157,Brandt Louie,2.1 ,74,drugstores,Canada
1157,Catherine Lozick,2.1 ,73,valve manufacturing,United States
1157,Igor Makarov,2.1 ,56,investments,Russia
1157,Mao Lixiang,2.1 ,77,cooking appliances,China
1157,Harsh Mariwala,2.1 ,67,consumer goods,India
1157,Martin Moller Nielsen,2.1 ,53,aircraft leasing,Denmark
1157,David Murdock,2.1 ,95,"Dole, real estate",United States
1157,N.R. Narayana Murthy,2.1 ,71,software services,India
1157,Georg Nemetschek,2.1 ,84,software,Germany
1157,Vikas Oberoi,2.1 ,47,real estate,India
1157,Maja Oeri,2.1 ,63,Roche Holding,Switzerland
1157,Ong Beng Seng and Christina Ong,2.1 ,73,diversified,Singapore
1157,"H. Ross Perot, Jr.",2.1 ,59,real estate,United States
1157,Tor Peterson,2.1 ,53,commodities,United States
1157,Heloise Pratt,2.1 ,55,"manufacturing, investment",Australia
1157,Alexey Repik,2.1 ,38,pharmaceuticals,Russia
1157,Shin Chang-Jae,2.1 ,64,insurance,South Korea
1157,Kavitark Ram Shriram,2.1 ,61,"venture capital, Google",United States
1157,Sylvia Stroeher,2.1 ,63,cosmetics,Germany
1157,Katsumi Tada,2.1 ,72,real estate,Japan
1157,Tang Shing-bor,2.1 ,84,real estate,Hong Kong
1157,Georg von Opel,2.1 ,52,"real estate, investments",Switzerland
1157,David Walentas,2.1 ,79,real estate,United States
1157,Ronald Wanek,2.1 ,77,furniture,United States
1157,Wang Changtian,2.1 ,53,"TV, movie production",China
1157,Wang Wenjing,2.1 ,53,business software,China
1157,Ye Cheng,2.1 ,56,conglomerate,China
1157,Zhu Gongshan,2.1 ,60,solar panel materials,China
1215,Antti Aarnio-Wihuri,2 ,78,diversified,Finland
1215,S. Daniel Abraham,2 ,93,Slim-Fast,United States
1215,Joao Alves de Queiroz Filho,2 ,65,pharmaceuticals,Brazil
1215,Mika Anttonen,2 ,51,oil & gas,Finland
1215,Thor Bjorgolfsson,2 ,51,investments,Iceland
1215,Andrei Bokarev,2 ,51,"metals, mining",Russia
1215,Bernhard Braun-Luedicke,2 ,41,medical technology,Germany
1215,Eva Maria Braun-Luedicke,2 ,31,medical technology,Germany
1215,Friederike Braun-Luedicke,2 ,34,medical technology,Germany
1215,Ron Burkle,2 ,65,"supermarkets, investments",United States
1215,Vivek Chand Burman,2 ,81,consumer goods,India
1215,Chen Yung-Tai,2 ,82,real estate,Taiwan
1215,James Clark,2 ,74,"Netscape, investments",United States
1215,Christopher Cline,2 ,59,coal,United States
1215,Alexandra Daitch,2 ,55,Cargill,United States
1215,Dong Wei,2 ,47,pharmaceuticals,China
1215,Fritz Draexlmaier,2 ,-,auto parts,Germany
1215,Glenn Dubin,2 ,61,hedge funds,United States
1215,Robert Duggan,2 ,74,pharmaceuticals,United States
1215,Jayme Garfinkel,2 ,72,insurance,Brazil
1215,Sam Goi,2 ,69,frozen foods,Singapore
1215,Thomas Hagen,2 ,82,insurance,United States
1215,Carlos Hank Rhon,2 ,70,banking,Mexico
1215,Christoph Henkel,2 ,60,consumer goods,Germany
1215,Hu Kaijun,2 ,56,pharmaceuticals,China
1215,Huang Yi,2 ,56,auto distribution,Hong Kong
1215,Ramesh Juneja,2 ,62,pharmaceuticals,India
1215,Bruce Karsh,2 ,62,private equity,United States
1215,Henry Laufer,2 ,72,hedge funds,United States
1215,Lee Boo-Jin,2 ,47,"computer services, tourism",South Korea
1215,Lee Jay-Hyun,2 ,58,"food products, entertainment",South Korea
1215,Wolfgang Leitner,2 ,65,engineering,Austria
1215,Li Ge,2 ,51,biotech,China
1215,Harald Link,2 ,63,diversified,Thailand
1215,Liu Ming Hui,2 ,55,natural gas distribution,China
1215,Jeffrey Lurie,2 ,66,Philadelphia Eagles,United States
1215,Ma Xingtian,2 ,48,pharmaceuticals,China
1215,Sarah MacMillan,2 ,64,Cargill,United States
1215,Howard Marks,2 ,72,private equity,United States
1215,Miao Shouliang,2 ,63,real estate,China
1215,Lachhman Das Mittal,2 ,87,tractors,India
1215,Mario Moretti Polegato,2 ,65,shoes,Italy
1215,Vadim Moshkovich,2 ,51,"agriculture, land",Russia
1215,Mofatraj Munot,2 ,73,real estate,India
1215,Jonathan Nelson,2 ,62,private equity,United States
1215,Florentino Perez,2 ,71,construction,Spain
1215,Chuchat & Daonapa Petaumpai,2 ,65,motorcycle loans,Thailand
1215,Peter Peterson,2 ,92,investments,United States
1215,Arvind Poddar,2 ,60,tires,India
1215,Murdaya Poo,2 ,77,diversified,Indonesia
1215,Ren Zhengfei,2 ,74,telecom equipment,China
1215,Antony Ressler,2 ,56,finance,United States
1215,Francisco Jose Riberas Mera,2 ,54,"steel, autoparts",Spain
1215,Rodney Sacks,2 ,68,energy drinks,United States
1215,Hilton Schlosberg,2 ,65,energy drinks,United Kingdom
1215,Brian Sheth,2 ,42,investments,United States
1215,Lucy Stitzer,2 ,58,Cargill,United States
1215,Su Suyu,2 ,69,"utilities, real estate",China
1215,Satoshi Suzuki,2 ,64,cosmetics,Japan
1215,Katherine Tanner,2 ,62,Cargill,United States
1215,Arvind Tiku,2 ,48,"oil & gas, investments",India
1215,Wang Liping,2 ,52,hydraulic machinery,China
1215,Wang Xicheng,2 ,69,tires,China
1215,Wei Shaojun,2 ,55,real estate,China
1215,Amy Wyss,2 ,47,medical equipment,United States
1215,Jon Yarbrough,2 ,61,video games,United States
1215,Vladimir Yevtushenkov,2 ,69,"telecom, investments",Russia
1215,Charles Zegar,2 ,70,Bloomberg LP,United States
1215,Zhu Baoguo,2 ,56,pharmaceuticals,China
1284,Saif Al Ghurair,1.9 ,94,diversified,United Arab Emirates
1284,Syed Mokhtar AlBukhary,1.9 ,66,"engineering, energy, construction",Malaysia
1284,Miriam Baumann-Blocher,1.9 ,43,chemicals,Switzerland
1284,Albert Berner,1.9 ,82,fasteners,Germany
1284,Thomas Bruch,1.9 ,68,retail,Germany
1284,Chang Yun Chung,1.9 ,99,shipping,Singapore
1284,Kiat Chiaravanont,1.9 ,-,diversified,Thailand
1284,Jean-Paul and Martine Clozel,1.9 ,-,pharmaceuticals,Switzerland
1284,Benjamin de Rothschild,1.9 ,54,banking,Switzerland
1284,James Dinan,1.9 ,59,hedge funds,United States
1284,Charles Edelstenne,1.9 ,80,aviation,France
1284,Bernd Freier,1.9 ,61,fashion retail,Germany
1284,Bill Gross,1.9 ,74,investments,United States
1284,Jeffrey Gundlach,1.9 ,59,investments,United States
1284,Suat Gunsel,1.9 ,65,"real estate, education",Cyprus
1284,Shmuel Harlap,1.9 ,73,automotive,Israel
1284,Roberto Hernandez Ramirez,1.9 ,76,banking,Mexico
1284,Johannes Kaercher,1.9 ,67,"vacuums, cleaning products",Germany
1284,Friedrich Knapp,1.9 ,67,fashion retail,Germany
1284,Lee Myung-Hee,1.9 ,74,retail,South Korea
1284,Lee Seo-Hyun,1.9 ,44,"computer services, tourism",South Korea
1284,Liang Jiankun,1.9 ,56,cobalt mining,China
1284,Liao Long-shing,1.9 ,65,petrochemicals,Taiwan
1284,Lin Shu-Hong,1.9 ,89,petrochemicals,Taiwan
1284,Yasseen Mansour,1.9 ,56,diversified,Egypt
1284,David Nahmad,1.9 ,71,art collection,Monaco
1284,Alexander Nesis,1.9 ,55,"metals, banking, fertilizers",Russia
1284,Nandan Nilekani,1.9 ,63,software services,India
1284,Ranjan Pai,1.9 ,45,education,India
1284,Park Hyeon-Joo,1.9 ,59,mutual funds,South Korea
1284,Jennifer Pritzker,1.9 ,67,"hotels, investments",United States
1284,Qiu Jianping,1.9 ,56,hand tools,China
1284,Megdet Rahimkulov,1.9 ,72,investments,Russia
1284,Vito Rodriguez Rodriguez,1.9 ,79,processed milk,Peru
1284,Stephen Rubin,1.9 ,81,sports apparel,United Kingdom
1284,Remo Ruffini,1.9 ,56,winter jackets,Italy
1284,Erik Selin,1.9 ,51,real estate,Sweden
1284,Peter Sondakh,1.9 ,68,investments,Indonesia
1284,Alan N. Trefler,1.9 ,62,software,United States
1284,Tseng Shin-yi,1.9 ,90,petrochemicals,Taiwan
1284,Masateru Uno,1.9 ,71,drugstores,Japan
1284,Wang Qingtao,1.9 ,56,steel smelting,China
1284,Evan Williams,1.9 ,46,Twitter,United States
1284,Gustav Magnar Witzoe,1.9 ,25,fish farming,Norway
1284,Horst Wortmann,1.9 ,77,footwear,Germany
1284,Xiao Yongming,1.9 ,53,fertilizer,China
1284,Xie Zhikun,1.9 ,57,investments,China
1284,Xue Xiangdong,1.9 ,59,software,China
1284,Yuan Yafei,1.9 ,54,"retail, investments",China
1284,Robin Zeng,1.9 ,50,batteries,Hong Kong
1284,Zhang Daocai,1.9 ,68,valves,China
1284,Zhang Xuansong,1.9 ,46,supermarket,China
1284,Zheng Yuewen,1.9 ,56,investments,China
1284,Zhou Xiaoguang,1.9 ,56,real estate,China
1284,Susanne Zimmermann von Siefart ,1.9 ,61,"vacuums, home cleaning products",Germany
1339,Aras Agalarov,1.8 ,62,real estate,Russia
1339,Maurice Alter,1.8 ,93,real estate,Australia
1339,An Kang,1.8 ,69,pharmaceuticals,China
1339,Alex Beard,1.8 ,50,"mining, commodities",United Kingdom
1339,Nicolas Berggruen,1.8 ,56,investments,United States
1339,Vladimir Bogdanov,1.8 ,67,oil,Russia
1339,Julio Bozano,1.8 ,82,banking,Brazil
1339,Anna Maria Braun,1.8 ,39,medical technology,Germany
1339,Johanna Braun,1.8 ,38,medical technology,Germany
1339,Karl Friedrich Braun,1.8 ,35,medical technology,Germany
1339,Anand Burman,1.8 ,66,consumer goods,India
1339,Edouard Carmignac,1.8 ,70,asset management,France
1339,Chen Jianhua,1.8 ,47,chemicals,China
1339,Cheung Yan,1.8 ,61,paper manufacturing,China
1339,Chung Mong-Joon,1.8 ,66,"shipbuilding, industrial machines",South Korea
1339,Jack Cowin,1.8 ,75,fast food,Australia
1339,Cui Genliang,1.8 ,60,electric components,China
1339,Kommer Damen,1.8 ,74,shipbuilding,Netherlands
1339,Diego Della Valle,1.8 ,64,shoes,Italy
1339,Dou Zhenggang,1.8 ,65,"energy, chemicals",China
1339,N. Murray Edwards,1.8 ,58,oil & gas,Canada
1339,Gabriel Escarrer,1.8 ,83,hotels,Spain
1339,Clement Fayat,1.8 ,86,construction,France
1339,James France,1.8 ,73,"Nascar, racing",United States
1339,Senapathy Gopalakrishnan,1.8 ,63,software services,India
1339,David Harding,1.8 ,56,finance,United Kingdom
1339,Stewart Horejsi,1.8 ,80,Berkshire Hathaway,United States
1339,Huang Qisen,1.8 ,53,real estate,China
1339,Hamilton James,1.8 ,66,investments,United States
1339,John Kapoor,1.8 ,74,healthcare,United States
1339,William Lauder,1.8 ,58,Estee Lauder,United States
1339,Li Zongsong,1.8 ,51,pharmaceuticals,China
1339,Willy Michel,1.8 ,71,medical devices,Switzerland
1339,Masahiro Noda,1.8 ,79,software,Japan
1339,Gregorio Perez Companc,1.8 ,82,oil & gas,Argentina
1339,Linda Pritzker,1.8 ,64,"hotels, investments",United States
1339,Qin Hui,1.8 ,50,movie theaters,China
1339,Matthias Reinhart,1.8 ,58,finance,Switzerland
1339,Brian Roberts,1.8 ,58,Comcast,United States
1339,Alberto Roemmers,1.8 ,91,pharmaceuticals,Argentina
1339,Gerald Schwartz,1.8 ,76,finance,Canada
1339,Thaksin Shinawatra,1.8 ,68,investments,Thailand
1339,William Stone,1.8 ,63,software,United States
1339,Petter Stordalen,1.8 ,55,hotels,Norway
1339,Julia Stoschek,1.8 ,43,auto parts,Germany
1339,Maximilian Stoschek,1.8 ,-,auto parts,Germany
1339,Sun Shoukuan,1.8 ,68,metals. coal,China
1339,Ba Duong Tran,1.8 ,58,automotive,Vietnam
1339,Hamdi Ulukaya,1.8 ,45,greek yogurt,Turkey
1339,Wong Luen Hei,1.8 ,56,building materials,China
1339,Wu Yulan,1.8 ,48,pharmaceuticals,China
1339,Xu Hang,1.8 ,52,medical devices,China
1339,Yang Erzhu,1.8 ,67,real estate,China
1339,Yao Kuizhang,1.8 ,53,beverages,China
1339,Sheng Jian Zhong,1.8 ,60,real estate,Singapore
1394,Marcel Adams,1.7 ,97,real estate,Canada
1394,"Herbert Allen, Jr.",1.7 ,78,investment banking,United States
1394,Michael Ashcroft,1.7 ,72,security,United Kingdom
1394,Roman Avdeev,1.7 ,50,"banking, development",Russia
1394,Emilio Azcarraga Jean,1.7 ,50,TV broadcasting,Mexico
1394,Sezai Bacaksiz,1.7 ,68,diversified,Turkey
1394,Lesley Bamberger,1.7 ,53,real estate,Netherlands
1394,Angela Bennett,1.7 ,74,mining,Australia
1394,Hubertus Benteler,1.7 ,71,auto parts,Germany
1394,Ludwig Theodor Braun,1.7 ,28,medical technology,Germany
1394,Nicola Bulgari,1.7 ,77,luxury goods,Italy
1394,Paolo Bulgari,1.7 ,80,luxury goods,Italy
1394,Chen Dejun,1.7 ,48,package delivery,China
1394,Tony Chen,1.7 ,49,eletronics,Taiwan
1394,Chen Xueli,1.7 ,67,pharmaceuticals,China
1394,Luigi Cremonini,1.7 ,79,meat processing,Italy
1394,Dominique Desseigne,1.7 ,73,casinos,France
1394,Sefik Yilmaz Dizdar,1.7 ,80,fashion retail,Turkey
1394,Domenico Dolce,1.7 ,59,luxury goods,Italy
1394,Pavel Durov,1.7 ,33,messaging app,Russia
1394,John Farber,1.7 ,92,chemicals,United States
1394,Robert Fisher,1.7 ,64,Gap,United States
1394,William Fisher,1.7 ,61,Gap,United States
1394,Stefano Gabbana,1.7 ,55,luxury goods,Italy
1394,Rolf Gerling,1.7 ,63,insurance,Germany
1394,Serge Godin,1.7 ,68,information technology,Canada
1394,Sergei Gordeev,1.7 ,45,real estate,Russia
1394,Mehmet Nazif Gunal,1.7 ,70,"tourism, construction",Turkey
1394,Yusuf Hamied,1.7 ,81,pharmaceuticals,India
1394,Gerry Harvey,1.7 ,78,retail,Australia
1394,Timothy Headington,1.7 ,68,"oil & gas, investments",United States
1394,Huang Chulong,1.7 ,59,real estate,Canada
1394,Huo Qinghua,1.7 ,57,coal,China
1394,Devendra Jain,1.7 ,89,chemicals,India
1394,Jiang Yintai,1.7 ,67,auto parts,China
1394,"Jim Justice, II.",1.7 ,67,coal,United States
1394,Kim Jun-Ki,1.7 ,73,diversified,South Korea
1394,William Koch,1.7 ,78,"oil, investments",United States
1394,Anthony Langley,1.7 ,63,manufacturing,United Kingdom
1394,Marc Lasry,1.7 ,57,hedge funds,United States
1394,Peter Leibinger,1.7 ,51,machine tools,Germany
1394,Regine Leibinger,1.7 ,55,machine tools,Germany
1394,Li San Yim,1.7 ,68,construction equipment,China
1394,David Lichtenstein,1.7 ,56,real estate,United States
1394,Lim Oon Kuin,1.7 ,74,oil trading,Singapore
1394,Liu Ming Chung,1.7 ,55,paper manufacturing,Brazil
1394,Ma Xiuhui,1.7 ,47,LED lighting,China
1394,Prayudh Mahagitsiri,1.7 ,72,"coffee, shipping",Thailand
1394,Anand Mahindra,1.7 ,63,automobiles,India
1394,Kishore Mariwala,1.7 ,83,consumer goods,India
1394,Craig McCaw,1.7 ,68,telecom,United States
1394,Miguel McKelvey,1.7 ,43,WeWork,United States
1394,Vincent McMahon,1.7 ,72,wrestling,United States
